sample_id,article_id,pair_id
0,wsj_0347,0
0,wsj_0347,1
0,wsj_0465,0
0,wsj_0465,1
0,wsj_0424,0
0,wsj_0424,1
0,wsj_0490,0
0,wsj_0490,1
0,wsj_0587,0
0,wsj_0587,1
0,wsj_0598,0
0,wsj_0598,1
0,wsj_0572,0
0,wsj_0572,1
0,wsj_0596,0
0,wsj_0596,1
0,wsj_0589,0
0,wsj_0589,1
0,wsj_0515,0
0,wsj_0515,1
0,wsj_0590,0
0,wsj_0590,1
0,wsj_0592,0
0,wsj_0592,1
0,wsj_0595,0
0,wsj_0595,1
0,wsj_0597,0
0,wsj_0597,1
0,wsj_0591,0
0,wsj_0591,1
0,wsj_0290,0
0,wsj_0290,1
0,wsj_0289,0
0,wsj_0289,1
0,wsj_0242,0
0,wsj_0242,1
0,wsj_0283,0
0,wsj_0283,1
0,wsj_2047,0
0,wsj_2047,1
0,wsj_2013,0
0,wsj_2013,1
0,wsj_2052,0
0,wsj_2052,1
0,wsj_1875,0
0,wsj_1875,1
0,wsj_1846,0
0,wsj_1846,1
0,wsj_1825,0
0,wsj_1825,1
0,wsj_1134,0
0,wsj_1134,1
0,wsj_1168,0
0,wsj_1168,1
0,wsj_1110,0
0,wsj_1110,1
0,wsj_1112,0
0,wsj_1112,1
0,wsj_1132,0
0,wsj_1132,1
0,wsj_1116,0
0,wsj_1116,1
0,wsj_1114,0
0,wsj_1114,1
0,wsj_1137,0
0,wsj_1137,1
0,wsj_1172,0
0,wsj_1172,1
0,wsj_1135,0
0,wsj_1135,1
0,wsj_1150,0
0,wsj_1150,1
0,wsj_1128,0
0,wsj_1128,1
0,wsj_1190,0
0,wsj_1190,1
0,wsj_1149,0
0,wsj_1149,1
0,wsj_1174,0
0,wsj_1174,1
0,wsj_1189,0
0,wsj_1189,1
0,wsj_1133,0
0,wsj_1133,1
0,wsj_1117,0
0,wsj_1117,1
0,wsj_1152,0
0,wsj_1152,1
0,wsj_1163,0
0,wsj_1163,1
0,wsj_1126,0
0,wsj_1126,1
0,wsj_1147,0
0,wsj_1147,1
0,wsj_1102,0
0,wsj_1102,1
0,wsj_1187,0
0,wsj_1187,1
0,wsj_1178,0
0,wsj_1178,1
0,wsj_1145,0
0,wsj_1145,1
0,wsj_1119,0
0,wsj_1119,1
0,wsj_1120,0
0,wsj_1120,1
0,wsj_1158,0
0,wsj_1158,1
0,wsj_1139,0
0,wsj_1139,1
0,wsj_1141,0
0,wsj_1141,1
0,wsj_1143,0
0,wsj_1143,1
0,wsj_1122,0
0,wsj_1122,1
0,wsj_1101,0
0,wsj_1101,1
0,wsj_1184,0
0,wsj_1184,1
0,wsj_1125,0
0,wsj_1125,1
0,wsj_1160,0
0,wsj_1160,1
0,wsj_1127,0
0,wsj_1127,1
0,wsj_1162,0
0,wsj_1162,1
0,wsj_1103,0
0,wsj_1103,1
0,wsj_1146,0
0,wsj_1146,1
0,wsj_1107,0
0,wsj_1107,1
0,wsj_1123,0
0,wsj_1123,1
0,wsj_1166,0
0,wsj_1166,1
0,wsj_1159,0
0,wsj_1159,1
0,wsj_1121,0
0,wsj_1121,1
0,wsj_1140,0
0,wsj_1140,1
0,wsj_1640,0
0,wsj_1640,1
0,wsj_1682,0
0,wsj_1682,1
0,wsj_1695,0
0,wsj_1695,1
0,wsj_1615,0
0,wsj_1615,1
0,wsj_1705,0
