text,Financial_Problem,Other,Everyday_Decision_Making,Emotional_Turmoil,School,Family_Issues,Social_Relationships,Work,Health_Fatigue_Physical_Pain,neutralized_text,index
a few things - i can fill you in later when we chat,0,1,0,0,0,0,0,0,0,A few things – I can fill you in later when we chat.,0
a lot of things! where to start?!,0,1,1,1,0,0,0,0,0,A lot of things! Where to start?!,1
"a problem at work, school, or simply planning a meal and the work problem office",0,0,0,0,1,0,0,1,0,"a problem at work, school, or simply planning a meal and the work problem office",2
a recent situation is that my house is listed and not selling quick,1,0,1,0,0,0,0,0,0,A recent situation is that my house is listed and not selling quickly.,3
A situation that has been stressing me out is the coronavirus.,0,0,0,1,0,0,0,0,1,A situation that has been causing me stress is the coronavirus.,4
Adjusting to distance learning for graduate level courses,0,1,0,1,1,0,0,0,0,Adjusting to distance learning for advanced level courses,5
All of the COVID-19 happenings and the financial fallout that has happened as a result.,1,0,0,1,0,0,0,0,1,All of the COVID-19 events and the financial consequences that have resulted.,6
all the craziness going on in the country right now,0,1,1,1,0,0,0,0,1,All the craziness going on in my country right now,7
all these exams i have coming up and no time to study!,0,1,0,0,1,0,0,0,0,All these exams coming up and no time to study!,8
all these extra hours at work are driving me insane.,0,0,0,0,0,0,0,1,1,All these extra hours at work are overwhelming me.,9
amazon turk has been really slow so i haven't been making much extra money...,1,1,0,1,0,0,0,1,0,"Amazon Turk has been really slow, so I haven't been making much extra money.",10
answer with the situation,0,1,0,0,0,0,0,0,0,Answer with the situation,11
anything i can do to help?,1,1,0,1,0,0,0,1,0,Is there anything I can do to help?,12
"Argh, don't have the AMR measure for submission yet.",0,1,0,0,1,0,0,1,0,"Argh, don't have the AMR measure for submission yet.",13
"at my current work, i am feeling so stressful and tired because of my team work pressure",0,0,0,0,0,0,1,1,1,"At my current work, I am feeling very stressed and tired because of the team workload pressure.",14
balancing work with home schooling my children,0,1,0,0,1,1,0,1,0,balancing work with home schooling my dependents,15
be cool,0,1,0,0,0,0,0,0,0,Be cool,16
"being a caregiver for a sick family friend, i feel like i have no time to myself",1,0,1,0,0,1,1,0,1,"Being a caregiver for a sick close friend, I feel like I have no time to myself.",17
being evicted,1,0,0,1,0,0,0,0,0,facing eviction,18
Being stuck at home and not being able to go  to church,0,1,0,1,0,0,0,0,0,Being stuck at home and not being able to attend religious services,19
Being stuck at home with two other people and having no privacy.,0,1,0,0,0,1,1,0,0,Being stuck at home with two other individuals and having no privacy.,20
Being stuck in my house during quarantine,0,1,1,1,0,1,1,1,1,Being stuck at home during quarantine,21
body pain,0,1,0,0,0,0,0,0,1,body pain,22
boss at work,0,1,0,0,0,0,0,1,0,supervisor at work,23
boss has been frustrating me!,0,0,0,0,0,0,0,1,0,The supervisor has been frustrating me!,24
cant figure out what to do in the job or task,0,1,0,0,0,0,0,1,0,Cannot figure out what to do in the job or task.,25
Can't find anything to fix,0,1,1,0,0,0,1,0,0,Cannot find anything to fix,26
classes,0,1,0,0,1,0,0,0,0,classes,27
classes at my college,1,0,0,0,1,0,0,0,0,classes at my educational institution,28
completing a project on time and correctly.,1,1,0,0,0,0,0,1,0,Completing a project on time and correctly.,29
CORNOAVIRUS AND THE UNKNOWN,0,1,1,1,1,0,1,0,1,CORONAVIRUS AND THE UNKNOWN,30
"Corona Virus! I have not work, no contacts, can't leave the house. How are you?",1,0,1,1,1,0,0,1,0,"Coronavirus! I have no work, no contacts, can't leave the house. How are you?",31
Coronavirus is threatening my current employment.,0,0,0,0,0,0,0,1,0,Coronavirus is threatening my current job.,32
CORONAVIRUS preventing me from WORKING so I cannot pay my BILLS and keep family FED,1,0,0,1,0,0,0,1,0,CORONAVIRUS preventing me from WORKING so I cannot pay my BILLS and keep my household FED,33
"Coronavirus, my financial budget, thinking of my student debts",1,1,0,0,0,0,1,0,1,"Coronavirus, my financial budget, thinking of my educational debts",34
Coronavirus.  I am high risk because of asthma so I am worried,1,0,0,1,0,0,0,0,1,"Coronavirus. I am considered high risk due to a respiratory condition, so I am worried.",35
court in 2 weeks nd no deal in sight,1,1,0,1,0,1,0,0,0,Court in two weeks and no deal in sight.,36
COVID 19 is everywhere and I have to respond as a fire fighter,0,1,1,0,0,0,0,1,1,COVID-19 is widespread and I have to respond as an emergency responder.,37
Covid-19 and money,1,1,0,1,0,0,0,1,1,Covid-19 and finances,38
Covid-19 has been really stressing me out. Life as we know it is forever different,0,1,1,1,0,0,0,0,1,Covid-19 has been really stressing me out. Life as it is known is forever different.,39
COVID-19 has been stressing me out!,0,0,1,1,0,0,0,0,1,COVID-19 has been causing a lot of stress!,40
Covid-19 it laid of my husband from work. My surgery got postponed.,1,0,0,0,0,1,0,1,1,Covid-19 caused my partner to be laid off from work. My surgery got postponed.,41
coworkers ostracising me again,0,0,0,1,0,1,1,1,0,Colleagues excluding me again,42
crap life seems to suck!,0,1,0,1,0,0,1,0,0,Life seems to be difficult!,43
currently my relationship but i'm working on it.,0,0,0,1,0,0,1,0,0,"Currently my relationship, but I am working on it.",44
Currently not being able to see my girlfriend is stressing me out slightly.,0,0,0,1,0,0,1,0,0,Currently not being able to see my partner is stressing me out slightly.,45
dealing with grief following the death of both my grandparents last month,0,0,0,1,0,1,1,0,0,dealing with grief following the death of both my grandparents recently,46
dealing with that woman at work,0,0,0,0,0,0,1,1,0,dealing with that person at work,47
difficult people at work,0,0,0,0,0,0,0,1,0,challenging individuals at work,48
do you have time to talk,1,1,0,0,0,1,1,1,0,Do you have time to talk?,49
don't know what to cook for dinner,0,1,1,0,0,0,0,0,0,Not sure what to cook for dinner.,50
driving 2 work really sucks,0,1,1,0,0,0,0,1,0,Driving to work really sucks.,51
due to certain circumstances that have donned on me it has been tough to meet financial,1,0,0,1,0,0,0,0,0,"Due to certain circumstances that have occurred, it has been tough to meet financial obligations.",52
every time i turn on the news and social media facebook it seems to stress me out,0,1,0,1,0,0,1,0,0,"Every time I turn on the news and social media, it seems to stress me out.",53
everything stress me out,0,1,1,1,0,0,0,0,0,Everything stresses me out.,54
Everything that's happening with corona virus is making me nervous.,0,1,1,1,0,0,0,0,1,Everything that's happening with the virus is making me nervous.,55
Everything will be just fine. Just stick with it,0,1,0,0,0,0,0,0,0,Everything will be just fine. Just stick with it.,56
"everything. i'm so overwhelmed, no help, no time urgggg",0,0,1,1,0,0,0,1,0,"Everything. I’m so overwhelmed, no help, no time, urgggg.",57
feeling lonely,0,0,0,1,0,0,1,0,0,feeling lonely,58
finances are tight right now,1,0,0,0,0,0,0,0,0,Financial resources are limited at the moment.,59
financial constraints and so i need a well paying job,1,0,0,0,0,0,0,1,0,Limited financial resources require me to find a well-paying job.,60
financial issues are the main stressor in my life.,1,0,0,0,0,0,1,0,0,Financial issues are the main stressor in my life.,61
financial issues have been getting to me,1,0,0,1,0,0,0,0,0,Financial difficulties have been affecting me.,62
Financial problems have been getting me down lately.,1,0,0,0,0,0,0,0,0,Financial difficulties have been affecting me lately.,63
flat tire,1,1,1,0,0,0,0,0,0,flat tire,64
full time caregiving is hard i am always tired,0,0,0,1,0,0,0,1,1,Full-time caregiving is hard; I am always tired.,65
Getting cabin fever due to coronavirus shutting things down.,0,0,1,1,0,0,1,0,1,Experiencing cabin fever due to the coronavirus causing shutdowns.,66
getting my work done before the deadline with the holidays right around the corner.,0,0,1,0,0,0,0,1,0,Completing work before the deadline with the holidays approaching.,67
Girl I'm stressing out st work. Supervisor is driving me absolutely crazy!! HELP!!,1,0,0,0,0,0,0,1,0,I'm stressing out at work. The supervisor is driving me absolutely crazy!! HELP!!,68
"girl, i can't afford to pay my bills and i'm mentally exhausted.",1,0,1,1,0,0,0,0,1,I can't afford to pay my bills and I'm mentally exhausted.,69
Going out to the store and ppl sneezing without covering the mouth OMG,0,0,0,1,0,0,0,0,1,Going out to the store and people sneezing without covering their mouth OMG,70
great stress about work,0,0,0,0,0,0,1,1,0,great stress related to work,71
half of my coworkers are leaving for new jobs.,0,0,0,1,1,0,0,1,0,Half of my coworkers are leaving for new jobs.,72
have been having this issues resting after work like my whole body needs a massage,0,0,0,0,0,0,0,1,1,I have been having issues resting after work like my whole body needs a massage.,73
have been trying to find online work that is simple but rewarding its been stressfu,0,0,0,0,0,0,1,1,0,I have been trying to find online work that is simple but rewarding. It has been stressful.,74
having to meet time deadlines at work.,0,1,0,0,0,0,0,1,0,having to meet time deadlines at work.,75
having to type messages on my phone.,0,1,1,0,0,0,0,0,0,having to type messages on my device.,76
"hello, what's stressing me out right now is my son's homework, he got too much homework",0,0,0,0,1,1,1,0,0,"Hello, what's stressing me out right now is my child's homework, they have too much homework.",77
Hey friend! This coronavirus has really been stressing me out with paying my bills.,1,0,0,0,0,0,0,1,1,Hey friend! This coronavirus has really been stressing me out with paying bills.,78
hey! right now financial aid is stressing me out,1,0,0,0,1,0,0,0,0,"Hey! Right now, financial aid is stressing me out.",79
hey! work has been stressing me out,0,0,1,0,0,0,0,1,0,Hey! Work has been stressing me out.,80
"hey, i called you three times last week no answer, what's the problem?",0,1,0,1,0,1,1,0,0,"Hey, I called you three times last week with no answer. What’s the problem?",81
hi,0,1,0,0,0,0,0,0,0,hi,82
"hi dear friend, I had stress because of my work . please give me idea to relax.",0,0,0,1,0,0,0,1,0,"Hello friend, I have been feeling stressed because of work. Please share some ideas to help me relax.",83
hi dr..i just so stressful due to my project work.because the dead line is over .,0,0,0,0,0,0,0,1,0,"Hi Dr., I am feeling very stressed due to my project work because the deadline has passed.",84
hi friend i had a problem a work and school ..shall we have lunch outside,0,0,0,0,1,0,1,1,0,"Hi friend, I had a problem at work and school. Shall we have lunch outside?",85
hi friend school has been so stressful i am in finals and have 3 assignments due,0,0,0,1,1,0,0,0,0,"Hi friend, school has been very stressful. I am in finals and have three assignments due.",86
"Hi Friend, Adulting has been stressing me out.",0,1,1,1,0,0,1,0,0,"Hi Friend, managing responsibilities has been stressing me out.",87
"hi friend, recent days i had lot of work pressure. give me some idea to relax.",0,0,1,0,0,0,0,1,1,"Hi friend, recently I have had a lot of work pressure. Can you give me some ideas to relax?",88
"hi friend, school has been stressing me out. i feel like i'm drowning in the homework.",0,0,0,1,1,0,0,0,0,"Hi friend, school has been stressing me out. I feel like I'm drowning in the homework.",89
"hi how are you,i feel very stressful",0,1,0,1,0,0,1,0,1,"Hi, how are you? I feel very stressed.",90
hi there.  my job has been stressing me out.  we are so busy.,0,0,0,0,0,0,0,1,0,Hi there. My job has been stressing me out. We are very busy.,91
hi there.  work is really stressing me out.,0,0,0,0,0,0,0,1,0,Hi there. Work is really stressing me out.,92
hi! i have been really stressing out about my recent school load and doing my studies.,0,0,0,0,1,0,0,0,0,Hi! I have been really stressing out about my recent school load and doing my studies.,93
hi.. how are you?,0,1,0,0,0,0,0,0,0,Hi.. how are you?,94
"holiday break ending for college, next semester is scary",0,0,1,0,1,0,0,0,0,"Holiday break ending for college, next semester feels intimidating",95
home life sucksso many fights,0,1,0,0,0,1,0,0,0,Home life is difficult with many conflicts.,96
